onset	duration	stim_file	sti_started	sti_stopped	key_fix
12	3	face-video/stimtrn_121.mp4	84.8582361999997	87.8664715000013	n/a
18	3	face-video/stimtrn_122.mp4	90.5334057	93.5416581999998	n/a
24	3	face-video/stimtrn_1321.mp4	96.5588399999996	99.5754917000013	n/a
30	3	face-video/stimtrn_124.mp4	102.550765199999	105.5588692	n/a
36	3	face-video/stimtrn_125.mp4	108.5591347	111.5695556	n/a
42	3	face-video/stimtrn_126.mp4	114.559666500001	117.567795599999	n/a
48	3	face-video/stimtrn_127.mp4	120.568111	123.576405200001	n/a
54	3	face-video/stimtrn_128.mp4	126.5683176	129.579275199999	n/a
60	3	face-video/stimtrn_129.mp4	132.5603831	135.577086700001	n/a
66	3	face-video/stimtrn_130.mp4	138.560734	141.568855700001	n/a
72	3	face-video/stimtrn_131.mp4	144.560798100001	147.5691599	n/a
78	3	face-video/stimtrn_1322.mp4	150.5694655	153.5795232	n/a
84	3	face-video/stimtrn_133.mp4	156.54478	159.5530037	n/a
90	3	face-video/stimtrn_134.mp4	162.5533233	165.564187199999	n/a
96	3	face-video/stimtrn_135.mp4	168.5619834	171.572591400001	n/a
102	3	face-video/stimtrn_136.mp4	174.5706986	177.5882063	n/a
108	3	face-video/stimtrn_137.mp4	180.5374928	183.545815999999	n/a
114	3	face-video/stimtrn_138.mp4	186.554591400001	189.5647554	n/a
120	3	face-video/stimtrn_138.mp4	192.546571	195.567982399999	1
126	3	face-video/stimtrn_139.mp4	198.530157299999	201.541154399999	n/a
132	3	face-video/stimtrn_140.mp4	204.5304804	207.538574899999	n/a
138	3	face-video/stimtrn_141.mp4	210.5388499	213.555640600001	n/a
144	3	face-video/stimtrn_142.mp4	216.5641465	219.5724972	n/a
150	3	face-video/stimtrn_143.mp4	222.539209399999	225.5560243	n/a
156	3	face-video/stimtrn_144.mp4	228.531474299999	231.539584899999	n/a
162	3	face-video/stimtrn_145.mp4	234.564836000001	237.586627599999	n/a
168	3	face-video/stimtrn_146.mp4	240.565189500001	243.5734921	n/a
174	3	face-video/stimtrn_147.mp4	246.565634800001	249.573801	n/a
180	3	face-video/stimtrn_148.mp4	252.5739501	255.582509699999	n/a
186	3	face-video/stimtrn_149.mp4	258.557727000001	261.574413899999	n/a
192	3	face-video/stimtrn_150.mp4	264.566525199999	267.576639	n/a
198	3	face-video/stimtrn_123.mp4	270.5498681	273.560087200001	n/a
204	3	face-video/stimtrn_123.mp4	276.5253919	279.535610500001	1
210	3	face-video/stimtrn_132.mp4	282.558820400001	285.570685800001	n/a
216	3	face-video/stimtrn_143.mp4	288.567442700001	291.575649100001	n/a
222	3	face-video/stimtrn_132.mp4	294.5426284	297.559406100001	n/a
228	3	face-video/stimtrn_123.mp4	300.5430338	303.5596535	n/a
234	3	face-video/stimtrn_124.mp4	306.5932948	309.6039302	n/a
240	3	face-video/stimtrn_125.mp4	312.568593699999	315.585186	n/a
246	3	face-video/stimtrn_129.mp4	318.5355271	321.5436828	n/a
252	3	face-video/stimtrn_127.mp4	324.5523011	327.569070999999	n/a
258	3	face-video/stimtrn_1321.mp4	330.5610938	333.5692576	n/a
264	3	face-video/stimtrn_126.mp4	336.5611365	339.571295700001	n/a
270	3	face-video/stimtrn_126.mp4	342.544839199999	345.5615455	1
276	3	face-video/stimtrn_138.mp4	348.561857100001	351.578508800001	n/a
282	3	face-video/stimtrn_142.mp4	354.5704249	357.5871155	n/a
288	3	face-video/stimtrn_122.mp4	360.570781399999	363.581277799999	n/a
294	3	face-video/stimtrn_133.mp4	366.5375566	369.554320000001	n/a
300	3	face-video/stimtrn_134.mp4	372.5628581	375.5711212	n/a
306	3	face-video/stimtrn_145.mp4	378.563066599999	381.5847911	n/a
312	3	face-video/stimtrn_136.mp4	384.555157300001	387.563271	n/a
318	3	face-video/stimtrn_146.mp4	390.571955999999	393.5936849	n/a
324	3	face-video/stimtrn_130.mp4	396.563908	399.5722131	n/a
330	3	face-video/stimtrn_139.mp4	402.539212200001	405.56075	n/a
336	3	face-video/stimtrn_150.mp4	408.5479328	411.5727659	n/a
342	3	face-video/stimtrn_141.mp4	414.548211700001	417.569725000001	n/a
348	3	face-video/stimtrn_1322.mp4	420.548475499999	423.5588864	n/a
354	3	face-video/stimtrn_121.mp4	426.5570716	429.5682763	n/a
360	3	face-video/stimtrn_144.mp4	432.540671100001	435.557328800001	n/a
366	3	face-video/stimtrn_144.mp4	438.55764	441.565690299999	1
372	3	face-video/stimtrn_135.mp4	444.5826419	447.5910531	n/a
378	3	face-video/stimtrn_137.mp4	450.5663619	453.5746366	n/a
384	3	face-video/stimtrn_147.mp4	456.549894699999	459.5666	n/a
390	3	face-video/stimtrn_131.mp4	462.5751141	465.5835251	n/a
396	3	face-video/stimtrn_149.mp4	468.575318799999	471.5861968	n/a
402	3	face-video/stimtrn_140.mp4	474.559252	477.567396399999	n/a
408	3	face-video/stimtrn_128.mp4	480.5595168	483.576100100001	n/a
414	3	face-video/stimtrn_148.mp4	486.5263682	489.536728	n/a
